Город;Площадь территории1),  тыс. км2;Численность   населения  на 1 января  2023 г., тыс. человек;Среднегодовая численность занятых2),  тыс. человек;Средне- душевые денежные доходы  (в месяц), руб.;Потреби- тельские расходы в среднем  на душу населения  (в месяц), руб. ;Среднемесячная  номинальная начисленная  заработная плата работников организаций, руб.      ;Валовой  региональ- ный  продукт  в 2021 г. , млрд руб.;Инвестиции  в основной  капитал3),  млрд руб.;"Основные  фонды  в экономике  (по полной учетной стоимости;  на конец года)4), млрд руб.";Объем отгруженных товаров собственного производства, выполненных работ и услуг собственными силами по видам экономической деятельности,  млрд руб.;;;;Продукция  сельского  хозяйства -  всего, млрд руб.;в том числе;;Ввод  в действие  жилых домов, тыс. м2  общей  площади  жилых  помещений;Оборот  розничной  торговли,  млрд руб.           ;Сальдированный финансовый результат (прибыль минус убыток) деятельности организаций5),  млрд руб.
Российская Федерация;17 125,2;146 447,4;71 216,9;44 937,0;35 336,0;65 338,0;121 183,0;27 865,26);427 401,0;27 295,8;66 797,0;6 730,5;1 836,0;8 563,5;4 945,6;3 617,9;102 712,7;42 577,0;22 313,6
Центральный  федеральный округ;650,2;40 240,3;20 843,9;59 461,0;44 195,0;83 126,0;41 686,0;9 367,4;151 901,0;2 280,4;23 821,0;2 002,8;604,5;2 293,8;1 292,5;1 001,3;32 877,6;14 271,9;8 041,7
Белгородская область;27,1;1 514,5;771,2;41 022,0;32 092,0;47 638,0;1 355,0;193,6;3 333,0;243,7;1 044,3;30,0;14,2;349,3;135,0;214,3;840,6;436,2;271,4
Брянская область;34,9;1 152,5;506,7;35 722,0;30 320,0;40 804,0;469,0;87,4;1 950,0;0,4;376,6;21,1;10,9;133,7;67,6;66,1;485,9;331,3;37,8
Владимирская область;29,1;1 325,5;647,7;32 321,0;26 020,0;45 677,0;737,0;179,4;2 186,0;11,3;719,4;42,7;15,7;43,0;15,5;27,5;1 183,1;305,7;114,2
Воронежская область;52,2;2 285,3;1 135,4;39 319,0;33 735,0;46 277,0;1 255,0;344,1;4 347,0;9,2;805,9;144,1;24,6;342,1;211,9;130,2;1 921,8;725,2;130,9
Ивановская область;21,4;914,7;448,5;34 275,0;28 872,0;36 380,0;301,0;59,5;1 243,0;1,4;267,5;27,3;7,7;23,2;9,4;13,8;392,4;245,6;16,8
Калужская область;29,8;1 070,9;503,1;35 509,0;28 327,0;53 910,0;664,0;135,8;2 656,0;4,7;876,7;28,6;14,4;72,6;32,8;39,8;916,3;259,3;31,1
Костромская область;60,2;571,9;277,9;34 450,0;29 753,0;40 242,0;241,0;36,9;1 007,0;0,9;197,6;46,8;4,1;20,2;6,7;13,5;337,6;156,2;14,7
Курская область;30,0;1 067,0;512,3;37 632,0;28 917,0;46 059,0;684,0;202,6;2 309,0;106,8;359,8;57,6;7,5;237,8;157,1;80,7;553,6;285,3;117,3
Липецкая область;24,0;1 126,3;549,5;38 926,0;32 431,0;46 711,0;844,0;166,2;2 525,0;9,3;1 113,2;27,7;15,2;197,1;137,4;59,7;755,4;333,7;273,8
Московская область;44,3;8 591,7;3 452,4;55 109,0;43 138,0;70 705,0;6 832,0;1 329,4;31 699,0;23,7;4 319,0;333,9;161,4;160,7;95,0;65,7;14 096,3;3 320,1;988,6
Орловская область;24,7;700,3;297,8;34 138,0;27 748,0;40 843,0;337,0;60,6;1 200,0;0,4;207,5;15,9;6,6;134,1;94,8;39,3;374,2;177,7;43,3
Рязанская область;39,6;1 088,9;495,3;33 379,0;27 306,0;45 770,0;532,0;93,4;2 616,0;1,6;483,7;50,6;14,3;113,8;70,1;43,7;805,0;267,8;63,7
Смоленская область;49,8;873,0;423,4;35 094,0;27 256,0;41 717,0;422,0;64,9;1 659,0;1,8;344,1;63,3;10,1;33,1;15,5;17,6;529,7;212,2;44,2
Тамбовская область;34,5;966,3;462,3;34 092,0;27 256,0;39 346,0;429,0;85,0;1 803,0;0,3;285,0;17,2;5,2;208,9;131,5;77,4;402,9;241,3;70,2
Тверская область;84,2;1 211,2;575,2;35 203,0;28 470,0;45 732,0;555,0;88,9;2 957,0;2,8;431,7;109,8;9,7;55,2;16,7;38,5;775,7;316,6;34,2
Тульская область;25,7;1 481,5;716,0;34 442,0;28 397,0;51 218,0;868,0;212,3;3 041,0;14,1;1 208,6;60,5;19,7;110,7;73,1;37,6;913,6;375,8;178,5
Ярославская область;36,2;1 194,6;603,0;38 060,0;30 810,0;47 388,0;690,0;109,6;2 973,0;2,3;532,0;51,2;13,7;52,9;17,1;35,8;796,3;333,5;65,8
г. Москва;2,6;13 104,2;8 466,1;95 465,0;65 722,0;125 638,0;24 471,0;5 918,0;82 397,0;1 845,8;10 248,4;874,6;249,6;5,4;5,1;0,3;6 797,3;5 948,4;5 545,2
Северо-Западный  федеральный округ;1 687,0;13 867,3;7 138,5;50 214,0;39 213,0;72 465,0;16 611,0;2 611,1;53 189,0;1 786,4;10 258,0;810,0;180,0;351,5;114,1;237,4;11 248,2;4 400,2;4 456,8
Республика Карелия;180,5;527,9;264,9;44 880,0;36 607,0;56 458,0;447,0;95,6;1 306,0;102,0;149,8;31,4;4,1;6,4;3,1;3,3;310,0;159,7;56,0
Республика Коми;416,8;726,5;368,9;46 638,0;32 321,0;68 790,0;857,0;118,5;4 734,0;588,4;192,0;47,6;9,9;14,4;4,3;10,1;202,8;189,0;15,2
Архангельская область;589,9;1 005,7;510,8;48 356,0;38 562,0;67 835,0;1 055,0;192,6;3 956,0;587,2;323,5;44,4;8,3;14,0;6,1;7,9;462,1;337,5;86,1
в том числе: ;;;;;;;;;;;;;;;;;;;
